Company,Headquarters,Website,Sales Contact,Jet Card Name - Description,Hourly Rate,Peak Hourly Rate
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Gold Capped Rate Account - Light,"7,650",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Platinum Fixed Rate Account - Light,"8,000",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Gold Capped Rate Account - Midsize,"9,150",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Platinum Fixed Rate Account - Midsize,"9,650",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Gold Capped Rate Account - Super Midsize,"10,750",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Platinum Fixed Rate Account - Super Midsize,"11,000",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Gold Capped Rate Account - Large,"14,500",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Platinum Fiexed Rate Account - Large,"14,900",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Gold Capped Rate Account - Large,"18,500",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Empyrean Platinum Fiexed Rate Account - Large,"20,000",#VALUE!
Air Charter Service (ACS),"Surbiton, England",http://www.aircharterservice.com/,robert.alper@aircharterservice.com,ACS - Dynamic,Dynamic Pricing,
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,APE- JetCard - Light Cabin - 10,"7,440","8,556"
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,APE - JetCard - Midsize Cabin - 10,"8,820","10,143"
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,"APE - JetCard - Hybrid - Guaranteed Legacy 450, Legacy 500, Citation Latitude or Challenger 300 - 10","10,600","12,190"
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,"AP - JetCard - Hybrid - Guaranteed Legacy 450, Legacy 500, Citation Latitude or Challenger 300 - 10","10,600","12,190"
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,APE - JetCard - Super Midsize Cabin - 10,"10,600","12,190"
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,APE - JetCard - Large Cabin - 10,"12,800","14,720"
Air Partner - Europe (APE),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,hello@airpartner.com,APE - JetCard - Global Cabin - 25,"15,192","17,471"
Air Partner (AP),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",jetcard.airpartner.com,transatlantic@airpartner.com,AP - JetCard - Transatlantic Rate - 10,"17,200","19,780"
Air Partner (AP),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,apjetcard@airpartner.com,AP - JetCard - Light Cabin - 10,"7,900","9,085"
Air Partner (AP),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,apjetcard@airpartner.com,AP - JetCard - Midsize Cabin - 10,"9,600","11,040"
Air Partner (AP),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,apjetcard@airpartner.com,AP - JetCard - Super Midsize Cabin - 10,"11,800","13,570"
Air Partner (AP),"Corporate: Gatwick, UK   US: Fort Lauderdale, FL",www.airpartner.com,apjetcard@airpartner.com,AP - JetCard - Large Cabin - 10,"14,600","16,790"
"Airshare (AS) - Within 120 nm of Houston, San Antonio, Austin, Fort Worth, Dallas, TX; Oklahoma City, Tulsa, OK; Kansas City, Wichita, KS; Denver, CO; St. Louis, MO; Chicago, IL; Indianapolis, IN, and  Buffalo, NY. This includes Cincinnati, OH, Louisville, KY, and Milwaukee, WI, and Toronto, Canada","Lenexa, KS",www.flyairshare.com,ppedicino@flyairshare.com,AS - Embark 325 Jet Card - Phenom 300 (10 days),"4,380","4,709"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Silver - Very Light,"6,950","8,966"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Silver - Super Midsize,"11,950","15,416"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Silver - Midsize,"8,950","11,546"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Silver - Light,"8,300","10,707"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Silver - Large,"14,250","18,383"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Gold - Very Light,"6,950","8,966"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Gold - Super Midsize,"11,950","15,416"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Gold - Midsize,"8,950","11,546"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Gold - Light,"8,300","10,707"
"Airstream Jets, Inc. (AJ)","Boca Raton, FL ",http://airstreamjets.com/,charter@airstreamjets.com,AJ - DISTANCE CARD™ Gold - Large,"14,250","18,383"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 500k - East (CT, DL, FL, GA, IN, ME, MD, MA, NH, NJ, NY, NC, OH PA, RI, SC, VT, VA, WV) - From CT, MA, MD, NJ, NY, PA, VA to FL = $18,900; to AZ, NV and CA = $27,500; Anywhere Continental 48 = $29,500 capped rate, all plus FET","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 500k - South/Midwest (AL, AR, IL, IA, KS, KY, LA, MI, MN, MS, MO, NE, OK, TN, TX, WI); Anywhere Continental 48 = $29,500 capped rate","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 500k - West/Mountain (AZ, CO, ID, MT, NV, NM, ND, SD, UT, WY, CA, OR, WA) - From AZ, CA and NV to FL = $27,500; Anywhere Continental 48 = $29,500 capped rate","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 500k - East (CT, DL, FL, GA, IN, ME, MD, MA, NH, NJ, NY, NC, OH PA, RI, SC, VT, VA, WV) - From CT, MA, MD, NJ, NY, PA, VA to FL = $27,500; to AZ, NV and CA = $37,500; Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 500k - South/Midwest (AL, AR, IL, IA, KS, KY, LA, MI, MN, MS, MO, NE, OK, TN, TX, WI); Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 500k - West/Mountain (AZ, CO, ID, MT, NV, NM, ND, SD, UT, WY, CA, OR, WA) - From AZ, CA and NV to FL = $37,500; Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 100k - East (CT, DL, FL, GA, IN, ME, MD, MA, NH, NJ, NY, NC, OH PA, RI, SC, VT, VA, WV) - From CT, MA, MD, NJ, NY, PA, VA to FL = $18,900; to AZ, NV and CA = $27,500; Anywhere Continental 48 = $29,500 capped rate, all plus FET","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 100k - South/Midwest (AL, AR, IL, IA, KS, KY, LA, MI, MN, MS, MO, NE, OK, TN, TX, WI); Anywhere Continental 48 = $29,500 capped rate","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 100k - West/Mountain (AZ, CO, ID, MT, NV, NM, ND, SD, UT, WY, CA, OR, WA) - From AZ, CA and NV to FL = $27,500; Anywhere Continental 48 = $29,500 capped rate","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 100k - East (CT, DL, FL, GA, IN, ME, MD, MA, NH, NJ, NY, NC, OH PA, RI, SC, VT, VA, WV) - From CT, MA, MD, NJ, NY, PA, VA to FL = $27,500; to AZ, NV and CA = $37,500; Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 100k - South/Midwest (AL, AR, IL, IA, KS, KY, LA, MI, MN, MS, MO, NE, OK, TN, TX, WI); Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 100k - West/Mountain (AZ, CO, ID, MT, NV, NM, ND, SD, UT, WY, CA, OR, WA) - From AZ, CA and NV to FL = $37,500; Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 250k - East (CT, DL, FL, GA, IN, ME, MD, MA, NH, NJ, NY, NC, OH PA, RI, SC, VT, VA, WV) - From CT, MA, MD, NJ, NY, PA, VA to FL = $18,900; to AZ, NV and CA = $27,500; Anywhere Continental 48 = $29,500 capped rate, all plus FET","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 250k - South/Midwest (AL, AR, IL, IA, KS, KY, LA, MI, MN, MS, MO, NE, OK, TN, TX, WI); Anywhere Continental 48 = $29,500 capped rate","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Super Midsize - 250k - West/Mountain (AZ, CO, ID, MT, NV, NM, ND, SD, UT, WY, CA, OR, WA) - From AZ, CA and NV to FL = $27,500; Anywhere Continental 48 = $29,500 capped rate","8,250","8,869"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 250k - East (CT, DL, FL, GA, IN, ME, MD, MA, NH, NJ, NY, NC, OH PA, RI, SC, VT, VA, WV) - From CT, MA, MD, NJ, NY, PA, VA to FL = $27,500; to AZ, NV and CA = $37,500; Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 250k - South/Midwest (AL, AR, IL, IA, KS, KY, LA, MI, MN, MS, MO, NE, OK, TN, TX, WI); Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,"Norwell, MA",www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,"AE - AJAX ACCESS - Large - 250k - West/Mountain (AZ, CO, ID, MT, NV, NM, ND, SD, UT, WY, CA, OR, WA) - From AZ, CA and NV to FL = $37,500; Anywhere Continental 48 = $45,000 capped rate","11,000","11,825"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA- Light Jet,"6,495","8,832"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA- Turboprop,"4,995","6,793"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA - Medium Jet,"7,650","10,403"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA - Super Medium Jet (8 seats),"8,895","12,096"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA - Super Medium Jet (9 Seats) ,"10,495","14,272"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA - Heavy Jet (10 Seats) ,"11,895","16,176"
Alliance Aviation (AA),"Orlando, FL",www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,AA - Ultra Long Range (16 Seats),"16,905","22,989"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi Reserve Membership - Light,"7,500","9,375"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi Reserve Membership - Midsize,"9,500","11,875"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi Reserve Membership - Super Midsize,"11,500","14,375"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi Reserve Membership - Heavy,"13,500","16,875"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi One Reserve Membership - Ultra Long-Haul,"16,500","20,625"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi One Jet Card - Light,"7,500","9,375"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi One Jet Card - Midsize,"9,500","11,875"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi One Jet Card - Super Midsize,"11,500","14,375"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi One Jet Card - Heavy,"13,500","16,875"
Amalfi Jets LLC (AM),"Los Angeles, CA ",www.amalfijets.com,charter@amalfijets.com,AM - Amalfi One Jet Card - Ultra Long-Haul,"16,500","20,625"
Camber (SC) ,"Portsmouth, NH",simplecharters.com,https://www.simplecharters.com/about/contact,SC - Funded Account,,
Charter Flight Group (CFG),"Boca Raton, FL ",https://charterflightgroup.com/,membership@flycfg.com,"CFG - Clear Card Membership - 50k - Wholesale + 18% or $1,800, whichever is greater",Dynamic Pricing,
Charter Flight Group (CFG),"Boca Raton, FL ",https://charterflightgroup.com/,membership@flycfg.com,"CFG - Clear Card Membership - 100k Wholesale + 15% or $1,500, whichever is greater",Dynamic Pricing,
Charter Flight Group (CFG),"Boca Raton, FL ",https://charterflightgroup.com/,membership@flycfg.com,"CFG - Clear Card Membership - 250k - Wholesale + 12% or $1,200, whichever is greater",Dynamic Pricing,
"Clay Lacy Aviation (CL) - For customers based in Los Angeles, Seattle, and Northeastern U.S.","Van Nuys, CA",www.claylacy.com,rking@claylacy.com,"CL - Clay Lacy Preferred - $100,000",Clay Lacy - Pricing Sheet Attached,
"Clay Lacy Aviation (CL) - For customers based in Los Angeles, Seattle, and Northeastern U.S.","Van Nuys, CA",www.claylacy.com,rking@claylacy.com,"CL - Clay Lacy Preferred - $250,000",Clay Lacy - Pricing Sheet Attached,
"Clay Lacy Aviation (CL) - For customers based in Los Angeles, Seattle, and Northeastern U.S.","Van Nuys, CA",www.claylacy.com,rking@claylacy.com,"CL - Clay Lacy Preferred - $500,000",Clay Lacy - Pricing Sheet Attached,
Concord Private Jet (CP),"Garden City, NY",www.cpjet.com,NAIJET@aol.com,CP - Midsize Jet Card,"7,250","9,742"
Concord Private Jet (CP),"Garden City, NY",www.cpjet.com,NAIJET@aol.com,CP - Heavy Jet Card - Roundtrip Only,"9,950","10,696"
Concord Private Jet (CP) ,"Garden City, NY",www.cpjet.com,NAIJET@aol.com,CP - Turboprop Jet Card,"4,750","6,383"
Concord Private Jet (CP) - On hold,"Garden City, NY",www.cpjet.com,NAIJET@aol.com,CP - Light Jet Card,"5,150","6,920"
Concord Private Jet (CP) - On hold,"Garden City, NY",www.cpjet.com,NAIJET@aol.com,CP - Super-midsize Jet Card,"7,950","10,683"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Bronze - Light Jets - 25 hours,"5,269","5,947"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Bronze - Simply Flight - Light Jets - 50 hours,"4,246","4,793"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Bronze - Light Jets - 100 hours,"3,724","4,204"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Silver - Super Midsize - 25 hours,"6,815","7,693"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Silver - Super Midsize - 50 hours,"8,127","9,173"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Silver - Super Midsize - 100 hours,"7,111","8,027"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Gold - Large Cabin - 25 hours,"11,200","12,642"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Gold - Large Cabin - 50 hours,"11,000","12,416"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Simply Flight - Gold - Large Cabin - 100 hours,"9,600","10,836"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premiere Connection - Bronze - 25 hours + 10 hours ground transportation,"7,078","7,989"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premiere Connection - Bronze - 50 hours + 25 hours ground transportation,"6,044","6,823"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premiere Connection - Bronze - 100 hours + 50 hours ground tranportation,"5,513","6,222"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premier Connection - Silver - 25 hours + 50 hours ground transportation,"11,351","12,813"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premier Connection - Silver - 50 hours + 100 hours ground transportation,"9,598","10,834"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premier Connection - Silver - 100 hours + 200 hours ground transportation,"8,722","9,845"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premier Connection - Gold - 25 hours + 50 hours ground tranportation,"15,594","17,602"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premier Connection - Gold - 50 hours + 100 hours ground tranportation,"12,928","14,592"
"Dominion Charter, Ltd. (DC)","Houston, TX",www.dominioncharterltd.com,bd@dominioncharterltd.com,DC - Premier Connection - Gold - 100 hours + 200 hours ground tranportation,"11,595","13,087"
Dreamline Aviation (DA) - Los Angeles and San Francisco Bay area airports ,"Van Nuys, CA",www.dreamlineaviation.com,charter@dljets.com,"DA - Great Circle - Home Airport - SQL, OAK, VNY","3,700","5,913"
Dreamline Aviation (DA) - Los Angeles and San Francisco Bay area airports ,"Van Nuys, CA",www.dreamlineaviation.com,charter@dljets.com,DA - Great Circle - Regional,"3,950","5,291"
Dreamline Aviation (DA) - Los Angeles and San Francisco Bay area airports ,"Van Nuys, CA",www.dreamlineaviation.com,charter@dljets.com,"DA - Great Circle - Home Airport - SQL, OAK, VNY","5,900","8,082"
Dreamline Aviation (DA) - Los Angeles and San Francisco Bay area airports ,"Van Nuys, CA",www.dreamlineaviation.com,charter@dljets.com,DA - Great Circle - Regional,"6,300","10,200"
