Company - Customer Target Areas if regional,Website,Sales Contact,City,State/Country
Exec 1 Aviation (EA),www.exec1aviation.com,"John Pugh - jpugh@exec1aviation.com
charter@exec1aviation.com",Ankeny,Iowa
"Airshare (AS) - Within 120 nm of Houston, San Antonio, Austin, Fort Worth, Dallas, TX; Oklahoma City, Tulsa, OK; Kansas City, Wichita, KS; Denver, CO; St. Louis, MO; Chicago, IL; Indianapolis, IN, and Buffalo, NY. This includes Cincinnati, OH, Louisville, KY, and Milwaukee, WI, and Toronto, Canada",www.flyairshare.com,ppedicino@flyairshare.com,Lenexa,Kansas
GlobeAir (GA),www.globeair.com,jonathan.berdoz@globeair.com,Hörsching,Linz (Austria)
Outlier Jets LLC (OJ),www.outlierjets.com,intelligence@outlierjets.com,Boston,"MA, Manhattan Beach, CA, Naples, FL"
VistaJet - Europe (VIE),www.vistajet.com,"Leona Qi
President, VistaJet US / Asia

Email: leona.qi@vistajet.com",Luqa,Malta
VistaJet (VI),www.vistajet.com,"Leona Qi
President, VistaJet US / Asia

Email: leona.qi@vistajet.com",Luqa,Malta
"GrandView Aviation (GV) - Operates from bases in Atlanta, GA, Austin, TX, Baltimore, MD, Boston, MA, Chicago, IL, Denver, CO, Los Angeles, CA, Reno, NV, Scottsdale, AZ, Teterboro, NJ - See tab for flat rate route pricing between 70 city pairs",www.flygv.com,info@flygv.com,Baltimore,Maryland
AeroVanti (AV),https://www.aerovanti.com/,https://www.aerovanti.com/membership/,Annapolis,Maryland
Sentient Jet (SJ),www.sentient.com,info@sentient.com,Boston,Massachusetts
Ajax Jets (AE) - On hiatus - currently selling fractional shares on Falcon 50s only,www.ajaxjets.com,https://ajaxjets.com/request-ajax-access-membership/,Norwell,Massachusetts
Magellan Jets (MJ),www.magellanjets.com,JohnA@magellanjets.com,Quincy,Massachusetts
"Northern Jet Management (NM) - Florida, Illinois, Indiana, Michigan, Ohio, Wisconsin - No repositioning fees within 180 miles of Naples, FL (APF), Grand Rapids, MI (GRR), and Chicago, IL (PWK)",www.northernjet.net,ccox@northernjet.net,Grand Rapids,Michigan
Nicholas Air (NA),www.Nicholasair.com,sales@nicholasair.com,Columbus,Mississippi
"Silverhawk Aviation, Inc. (SH) - within 200 miles of Lincoln, NE - On Waitlist",https://silverhawkaviation.com/jet-card/,cbirnley@silverhawkaviation.com,Lincoln,Nebraska
Jet Linx (JL) - Customers flying from ADS; AFW; APA; ATL; AUS; BCT; BED; BNA; BOS; DAL; DFW; DPA; DTO; DTW; DVT; DWH; EDC; EFD; FFZ; FRG; FTW; FTY; FWS; HEF; HOU; HPN; IAD; IAH; IND; JYO; MDW; MIA; MMU; MQY; MSP; OMA; ORD; PBI; PDK; PHX; PTK; PWK; RVS; RYY; SAT; SDL; SGR; STL; STP; SUS; TEB; TKI; TMB; TME; TUL; TYQ; UGN; and YIP.,www.jetlinx.com,alec.lefort@jetlinx.com,Omaha,Nebraska
Jet Token (JT),www.lookbookandfly.com / www.jettoken.com,info@jettoken.com,Las Vegas,Nevada
Thrive Aviation (TH),https://www.flythrive.com/,Scott.Musselwhite@flythrive.com,Las Vegas,Nevada
Camber (SC),simplecharters.com,https://www.simplecharters.com/about/contact,Portsmouth,New Hampshire
Private Jet Services (PJS),www.pjsgroup.com,andrew.vanderploeg@pjsgroup.com,Seabrook,New Hampshire
"Jet Aviation Flight Services, Inc. (PT) - Fixed Rate Program On Hold",www.jetaviation.com,"Victoria Reina Duffy, Director of Charter Sales - Victoria.Reina-Duffy@jetaviation.com",US- Teterboro,New Jersey
JetTheWorld.com (JTW),www.JetTheWorld.com,Sales@JetTheWorld.com,North Bergen,New Jersey
"Jet Aviation Flight Services, Inc. (PT)",www.jetaviation.com,"Victoria Reina Duffy, Director of Charter Sales - Victoria.Reina-Duffy@jetaviation.com",US- Teterboro,New Jersey
Wheels Up (WU),Wheelsup.com,info@wheelsup.com,New York,New York
FXAIR (FX),www.fxair.com,Robert.Shaplen@fxair.com,New York,New York
JetSet Group (JSG),jetsetgrp.com,Steven Orfali,New York,New York
Hopscotch Air (HA),flyhopscotch.com,membership@flyhopscotch.com,Farmingdale,New York
Luxury Aircraft Solutions (LAS) - Accepting new customers in JetMembership.com wholesale dynamic pricing; Aviate on hiatus for new members,www.LuxuryAircraftSolutions.com,Charter@Luxury.Aero,Long Island MacArtuhr Airport,New York
Concord Private Jet (CP),www.cpjet.com,NAIJET@aol.com,Garden City,New York
Concord Private Jet (CP) - On hold,www.cpjet.com,NAIJET@aol.com,Garden City,New York
JETS.COM (JET),WWW.JETS.COM,"EDGAR@JETS.COM
MANNI@JETS.COM
DKLINGER@JETS.COM",New York,New York
Star Jets International LLC (SJI),www.starjetsintl.com,rs@starjetsintl.com,New York,New York
FlyExclusive (FE),https://www.flyexclusive.com/,bblettner@flyexclusive.com,Kinston,North Carolina
NetJets Europe (NJE),https://www.netjets.com/en-gb/programs?go=private-jet-card,https://www.netjets.com/en-gb/?go=contact,Columbus,"OH, Lisbon, Portugal"
Flexjet Europe (FJE) - Program suspended,www.flexjet.com/uk,Visit https://www.flexjet.com/uk/request-information/,Cleveland,"OH, with European Experience Centre, Mayfair, London, UK"
Executive Jet Management (EJM) - Program on Waitlist,executivejetmanagement.com,https://www.executivejetmanagement.com/contact-us/,Cincinnati,Ohio
Flexjet (FJ) - Waitlist for new customers,www.flexjet.com,Visit http://www.flexjet.com/request-information/,Cleveland,Ohio
NetJets (NJ),https://www.netjets.com/en-us/marquis-jet-card-program,info@netjets.com,Columbus,Ohio
Qatar Executive (QR),https://www.qatarexec.com.qa/en/Services/DiamondAgreement,request@qatarexec.com.qa,Doha,Qatar
ElitAvia (EV),elitavia.com,sales@elitavia.com,Ljubljana,Slovenia
Vault Aviation (VA) - Accepting new members on a case-by-case basis,www.vaultjet.com,paul@vaultjet.com,Dallas,Texas
"Dominion Charter, Ltd. (DC)",www.dominioncharterltd.com,bd@dominioncharterltd.com,Houston,Texas
Leviate Air Group (LAG),https://www.leviateair.com/,https://www.leviateair.com/contact/,Dallas,Texas
Western Aviation (WA),sales@westernaviation.com,sales@westernaviation.com,Sugar Land,Texas
Starflight Aviation Europe (SFAE) - Suspended Jet Card Sales,www.flystarflight.com,sales@flystarflight.com,Farnborough Airport,"UK
Teterboro Airport, US"
Starflight Aviation US (SFA) - Suspended Jet Card Sales,www.flystarflight.com,sales@flystarflight.com,Farnborough Airport,"UK
Teterboro Airport, US"
Air Partner (AP),www.airpartner.com,apjetcard@airpartner.com,Corporate: Gatwick,"UK US: Fort Lauderdale, FL"
Air Partner - Europe (APE),www.airpartner.com,hello@airpartner.com,Corporate: Gatwick,"UK US: Fort Lauderdale, FL"
Air Partner (AP),jetcard.airpartner.com,transatlantic@airpartner.com,Corporate: Gatwick,"UK US: Fort Lauderdale, FL"
Paramount Business Jets (PBJ),www.paramountbusinessjets.com,charter@paramountbusinessjets.com,Leesburg,Virginia
